id,date,time,zone,currency,importance,event,actual,forecast,previous
512265,13/12/2024,08:00,united kingdom,GBP,medium,Trade Balance Non-EU  (Oct),-7.28B,,-5.31B
512384,13/12/2024,08:00,sweden,SEK,low,Unemployment Rate  (Nov),7.4%,,7.8%
513045,13/12/2024,08:00,germany,EUR,low,German Exports (MoM)  (Oct),-2.8%,-2.0%,-1.7%
513046,13/12/2024,08:00,germany,EUR,low,German Imports (MoM)  (Oct),-0.1%,-0.6%,2.1%
511937,13/12/2024,08:00,germany,EUR,medium,German Trade Balance  (Oct),13.4B,15.7B,17.0B
513294,13/12/2024,08:00,germany,EUR,low,German WPI (YoY)  (Nov),-0.6%,,-0.8%
513293,13/12/2024,08:00,germany,EUR,low,German WPI (MoM)  (Nov),0.0%,0.2%,0.4%
512380,13/12/2024,08:00,romania,RON,low,Industrial Production (YoY)  (Oct),-0.9%,,-3.6%
512378,13/12/2024,08:00,romania,RON,low,Industrial Production (MoM)  (Oct),0.4%,,-0.1%
513448,13/12/2024,08:30,thailand,THB,low,Currency Swaps (USD),26.5B,,27.0B
513286,13/12/2024,08:30,thailand,THB,low,Foreign Reserves (USD),239.3B,,237.5B
512386,13/12/2024,08:30,hungary,HUF,low,Industrial Output (YoY)  (Oct),-0.2%,-0.2%,-7.2%
512389,13/12/2024,08:45,france,EUR,low,French CPI NSA (YoY)  (Nov),1.30%,,1.20%
512387,13/12/2024,08:45,france,EUR,low,French CPI NSA (MoM)  (Nov),-0.10%,,0.20%
513409,13/12/2024,08:45,france,EUR,low,French CPI (YoY)  (Nov),1.3%,1.3%,1.2%
512388,13/12/2024,08:45,france,EUR,medium,French CPI (MoM)  (Nov),-0.1%,0.1%,0.3%
512392,13/12/2024,08:45,france,EUR,medium,French HICP (MoM)  (Nov),-0.1%,-0.1%,0.3%
512390,13/12/2024,08:45,france,EUR,low,French HICP (YoY)  (Nov),1.7%,1.7%,1.6%
512391,13/12/2024,08:45,france,EUR,low,France Inflation Ex-Tobacco (YoY)  (Nov),1.10%,,1.10%
512393,13/12/2024,09:00,spain,EUR,low,Core CPI (YoY)  (Nov),2.4%,2.4%,2.5%
512396,13/12/2024,09:00,spain,EUR,medium,Spanish CPI (YoY)  (Nov),2.4%,2.4%,1.8%
512400,13/12/2024,09:00,spain,EUR,low,Spanish CPI (MoM)  (Nov),0.2%,0.2%,0.6%
512397,13/12/2024,09:00,spain,EUR,low,Spanish HICP (MoM)  (Nov),0.0%,0.0%,0.4%
512395,13/12/2024,09:00,spain,EUR,medium,Spanish HICP (YoY)  (Nov),2.4%,2.4%,1.8%
512399,13/12/2024,09:00,slovakia,EUR,low,Slovak Core CPI (MoM)  (Nov),0.3%,0.2%,0.7%
512398,13/12/2024,09:00,slovakia,EUR,low,Slovak Core CPI (YoY)  (Nov),2.6%,2.7%,2.6%
512401,13/12/2024,09:00,slovakia,EUR,low,Slovak CPI (YoY)  (Nov),3.2%,3.1%,3.1%
512394,13/12/2024,09:00,slovakia,EUR,low,Slovak CPI (MoM)  (Nov),0.2%,0.2%,0.7%
513436,13/12/2024,09:00,south africa,ZAR,low,SARB Quarterly Bulletin,,,
512403,13/12/2024,10:00,poland,PLN,low,CPI (YoY)  (Nov),4.7%,4.6%,5.0%
512404,13/12/2024,10:00,poland,PLN,low,CPI (MoM)  (Nov),0.5%,0.4%,0.3%
